LR Clip Loss
0.0001 0.0001 3258.895751953125
0.0001 0.0002 3259.134765625
0.0001 0.0004 3259.21044921875
0.0001 0.0005 3258.338134765625
0.0001 0.0008 3257.908203125
0.0001 0.001 3258.177001953125
0.0001 0.002 3258.6787109375
0.0001 0.004 3259.098388671875
0.0001 0.005 3258.048095703125
0.0001 0.008 3258.4873046875
0.0001 0.01 3257.73193359375
0.0001 0.02 3257.839599609375
0.0001 0.04 3258.266357421875
0.0001 0.05 3257.746337890625
0.0001 0.08 3258.385498046875
0.0001 0.1 3258.01318359375
0.0001 0.2 3258.041259765625
0.0001 0.4 3257.890625
0.0001 0.5 3258.793701171875
0.0001 0.8 3258.638427734375
0.0001 1 3258.650634765625
0.0001 2 3258.233154296875
0.0001 4 3257.748291015625
0.0001 5 3258.463623046875
0.0001 8 3258.15234375
0.0001 10 3257.999755859375
0.0001 20 3258.45751953125
0.0001 40 3258.632568359375
0.0001 50 3258.1923828125
0.0001 80 3257.867431640625
0.0002 0.0001 2915.099365234375
0.0002 0.0002 2913.9951171875
0.0002 0.0004 2913.874755859375
0.0002 0.0005 2913.0341796875
0.0002 0.0008 2913.419677734375
0.0002 0.001 2914.8427734375
0.0002 0.002 2913.10498046875
0.0002 0.004 2912.49365234375
0.0002 0.005 2912.423095703125
0.0002 0.008 2914.05078125
0.0002 0.01 2913.784912109375
0.0002 0.02 2912.560302734375
0.0002 0.04 2912.92333984375
0.0002 0.05 2914.457763671875
0.0002 0.08 2913.32861328125
0.0002 0.1 2913.204345703125
0.0002 0.2 2913.459228515625
0.0002 0.4 2913.268310546875
0.0002 0.5 2913.405517578125
0.0002 0.8 2913.001708984375
0.0002 1 2913.2509765625
0.0002 2 2914.72998046875
0.0002 4 2914.609619140625
0.0002 5 2913.6103515625
0.0002 8 2913.1025390625
0.0002 10 2913.079345703125
0.0002 20 2913.640869140625
0.0002 40 2912.4404296875
0.0002 50 2912.193115234375
0.0002 80 2912.935302734375
0.0004 0.0001 2284.7001953125
0.0004 0.0002 2285.104248046875
0.0004 0.0004 2284.611328125
0.0004 0.0005 2285.771728515625
0.0004 0.0008 2285.92529296875
0.0004 0.001 2286.061767578125
0.0004 0.002 2284.2578125
0.0004 0.004 2283.142333984375
0.0004 0.005 2285.027099609375
0.0004 0.008 2285.998779296875
0.0004 0.01 2286.1279296875
0.0004 0.02 2285.597412109375
0.0004 0.04 2285.928466796875
0.0004 0.05 2283.666015625
0.0004 0.08 2284.56689453125
0.0004 0.1 2287.561767578125
0.0004 0.2 2282.6552734375
0.0004 0.4 2284.44287109375
0.0004 0.5 2286.10107421875
0.0004 0.8 2286.744873046875
0.0004 1 2285.643798828125
0.0004 2 2283.3505859375
0.0004 4 2284.927490234375
0.0004 5 2285.237060546875
0.0004 8 2285.467041015625
0.0004 10 2284.39990234375
0.0004 20 2284.66845703125
0.0004 40 2285.3837890625
0.0004 50 2284.13232421875
0.0004 80 2286.25537109375
0.0005 0.0001 2001.31201171875
0.0005 0.0002 2001.7615966796875
0.0005 0.0004 2001.010986328125
0.0005 0.0005 2001.3125
0.0005 0.0008 1999.9627685546875
0.0005 0.001 2002.5986328125
0.0005 0.002 2000.2332763671875
0.0005 0.004 1999.397705078125
0.0005 0.005 1999.983642578125
0.0005 0.008 2000.7376708984375
0.0005 0.01 2001.3115234375
0.0005 0.02 2003.547119140625
0.0005 0.04 1999.539306640625
0.0005 0.05 1999.9083251953125
0.0005 0.08 2001.9761962890625
0.0005 0.1 2002.4169921875
0.0005 0.2 2001.1177978515625
0.0005 0.4 2000.732177734375
0.0005 0.5 1998.36279296875
0.0005 0.8 2002.058837890625
0.0005 1 2000.81591796875
0.0005 2 2001.4520263671875
0.0005 4 2001.5072021484375
0.0005 5 2002.3895263671875
0.0005 8 2000.6512451171875
0.0005 10 2001.218017578125
0.0005 20 2000.1490478515625
0.0005 40 2002.171142578125
0.0005 50 1999.57666015625
0.0005 80 2002.393798828125
0.0008 0.0001 1268.8516845703125
0.0008 0.0002 1269.2293701171875
0.0008 0.0004 1270.2059326171875
0.0008 0.0005 1270.8695068359375
0.0008 0.0008 1269.5155029296875
0.0008 0.001 1269.3046875
0.0008 0.002 1268.5374755859375
0.0008 0.004 1268.0595703125
0.0008 0.005 1273.22705078125
0.0008 0.008 1267.185546875
0.0008 0.01 1268.3343505859375
0.0008 0.02 1270.382568359375
0.0008 0.04 1268.1505126953125
0.0008 0.05 1271.03662109375
0.0008 0.08 1272.2906494140625
0.0008 0.1 1267.844970703125
0.0008 0.2 1269.25341796875
