LR Clip Loss
0.0001 0.0001 3714.296630859375
0.0001 0.0002 3714.283447265625
0.0001 0.0004 3714.257568359375
0.0001 0.0005 3714.245361328125
0.0001 0.0008 3714.206787109375
0.0001 0.001 3714.18115234375
0.0001 0.002 3714.05322265625
0.0001 0.004 3713.797119140625
0.0001 0.005 3713.668212890625
0.0001 0.008 3713.2861328125
0.0001 0.01 3713.02685546875
0.0001 0.02 3711.74169921875
0.0001 0.04 3709.189208984375
0.0001 0.05 3707.903076171875
0.0001 0.08 3704.04833984375
0.0001 0.1 3701.505615234375
0.0001 0.2 3688.74365234375
0.0001 0.4 3663.080078125
0.0001 0.5 3650.50732421875
0.0001 0.8 3612.447509765625
0.0001 1 3587.526123046875
0.0001 2 3462.661376953125
0.0001 4 3219.609130859375
0.0001 5 3101.442138671875
0.0001 8 2760.41650390625
0.0001 10 2549.90478515625
0.0001 20 1609.9613037109375
0.0001 40 416.59735107421875
0.0001 50 176.34048461914062
0.0001 80 123.51547241210938
0.0002 0.0001 3714.283447265625
0.0002 0.0002 3714.257568359375
0.0002 0.0004 3714.206787109375
0.0002 0.0005 3714.18115234375
0.0002 0.0008 3714.10400390625
0.0002 0.001 3714.05322265625
0.0002 0.002 3713.79638671875
0.0002 0.004 3713.281005859375
0.0002 0.005 3713.028076171875
0.0002 0.008 3712.257568359375
0.0002 0.01 3711.75439453125
0.0002 0.02 3709.186767578125
0.0002 0.04 3704.057861328125
0.0002 0.05 3701.51904296875
0.0002 0.08 3693.849853515625
0.0002 0.1 3688.71435546875
0.0002 0.2 3663.266845703125
0.0002 0.4 3612.29931640625
0.0002 0.5 3586.99365234375
0.0002 0.8 3512.489501953125
0.0002 1 3462.5224609375
0.0002 2 3219.28125
0.0002 4 2761.134033203125
0.0002 5 2546.552978515625
0.0002 8 1956.951171875
0.0002 10 1605.628662109375
0.0002 20 415.5954284667969
0.0002 40 119.71621704101562
0.0002 50 118.81627655029297
0.0002 80 118.48101043701172
0.0004 0.0001 3714.258056640625
0.0004 0.0002 3714.206787109375
0.0004 0.0004 3714.104248046875
0.0004 0.0005 3714.052490234375
0.0004 0.0008 3713.898193359375
0.0004 0.001 3713.79638671875
0.0004 0.002 3713.279296875
0.0004 0.004 3712.256103515625
0.0004 0.005 3711.747314453125
0.0004 0.008 3710.207763671875
0.0004 0.01 3709.215087890625
0.0004 0.02 3704.0517578125
0.0004 0.04 3693.790283203125
0.0004 0.05 3688.675537109375
0.0004 0.08 3673.460693359375
0.0004 0.1 3663.218505859375
0.0004 0.2 3612.599609375
0.0004 0.4 3512.286376953125
0.0004 0.5 3462.556396484375
0.0004 0.8 3315.93115234375
0.0004 1 3219.2646484375
0.0004 2 2764.941162109375
0.0004 4 1953.92919921875
0.0004 5 1610.760009765625
0.0004 8 786.5457763671875
0.0004 10 420.7671813964844
0.0004 20 117.58560180664062
0.0004 40 114.94794464111328
0.0004 50 113.95314025878906
0.0004 80 113.02235412597656
0.0005 0.0001 3714.2451171875
0.0005 0.0002 3714.18115234375
0.0005 0.0004 3714.0537109375
0.0005 0.0005 3713.988037109375
